BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
40304;Stichting voor Chr. V.g. Onderw. op Walcheren;Griffioenstraat;17;4334 BK;MIDDELBURG;0687;MIDDELBURG;Protestants-Christelijk;0118652100;www.cswalcheren.nl;Postbus;541;4330 AM;MIDDELBURG; ;40311143
40310;Stichting Portuur;Herenlaan;2;7271 NR;BORCULO;1859;BERKELLAND;Algemeen bijzonder;0535730708;www.hetassink.nl;Herenlaan;2;7271 NR;BORCULO; ;41030828
40320;Stichting Berechja College;Waaiershoek;46;8321 BH;URK;0184;URK;Protestants-Christelijk;0527681237; ;Waaiershoek;46;8321 BH;URK; ;40656346
40323;Ver. Gereformeerd Voortgezet Onderwijs v. Midden-Nederland;Paladijnenweg;251;3813 DH;AMERSFOORT;0307;AMERSFOORT;Gereformeerd;0334792900;www.guido.nl;Postbus;401;3800 AK;AMERSFOORT; ;40507677
40334;Stg. Prot. Chr. Voortg. Ond. in Gouda en omgeving;Kanaalstraat;31;2801 SH;GOUDA;0513;GOUDA;Protestants-Christelijk;0182516077;www.degoudsewaarden.nl;Kanaalstraat;31;2801 SH;GOUDA; ;40465720
40348;St. v. Prot. Chr. Onderwijs voor Almelo en omgeving;Ootmarsumsestraat;73;7602 JR;ALMELO;0141;ALMELO;Protestants-Christelijk;0546581440;www.noordik.nl;Postbus;541;7600 AM;ALMELO;696;41031071
40356;Ver. Chr. Voortgezet Onderwijs in de Hoeksche Waard;Randweg;2;3263 RA;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Protestants-Christelijk;0186634340;www.dewillem.nl;Postbus;1390;3260 AJ;OUD-BEIJERLAND; ;40324545
40357;Stg. voor Chr. Voortgez. Ond. in Baarn/Soest;Noorderweg;79;3761 EV;SOEST;0342;SOEST;Protestants-Christelijk;0356098200; ;Postbus;316;3760 AH;SOEST; ;40507708
40365;Stichting Scholengroep Trivium Stadskanaal;Stationslaan;17;9503 CA;STADSKANAAL;0037;STADSKANAAL;Samenwerking PC, RK;0599631920;www.ubboemmius.nl;Postbus;137;9500 AC;STADSKANAAL; ;40038715
40375;Sticht. Voortgezet Montessori Onderwijs Nijmegen en omstrek.;Kwakkenbergweg;27;6523 MJ;NIJMEGEN;0268;NIJMEGEN;Algemeen bijzonder;0243283000;www.montessoricollege.nl;Postbus;146;6500 AC;NIJMEGEN;752;41058588
40377;Stichting Unicoz onderwijsgroep;Bredewater;4;2715 CA;ZOETERMEER;0637;ZOETERMEER;Protestants-Christelijk;0793208830;www.unicoz.nl;Bredewater;4;2715 CA;ZOETERMEER; ;40413085
40505;Stichting voor Bijzonder Voortgezet Onderwijs Bilthoven;Jan Steenlaan;38;3723 BV;BILTHOVEN;0310;DE BILT;Algemeen bijzonder;0302283060;www.hetnieuwelyceum.nl;Postbus;529;3720 AM;BILTHOVEN;136;41186216
40517;Lowys Porquinstichting;Marslaan;1;4624 CT;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Rooms-Katholiek;0164230166;www.lowysporquin.nl;Postbus;543;4600 AM;BERGEN OP ZOOM;955;41106257
40530;Stg. SCOPE scholengroep voor (Prot.-) Chr. en Kath. ond. te Alphen a.d. Rijn e.o;Prinses Beatrixlaan;4;2404 XC;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Protestants-Christelijk;0172449500;www.scopescholen.nl;Postbus;166;2400 AD;ALPHEN AAN DEN RIJN;169;40448185
40570;Stichting Christelijk Onderwijs Groningen;Eenrumermaar;4;9735 AD;GRONINGEN;0014;GRONINGEN;Protestants-Christelijk;0505742766;www.csg.nl;Postbus;9475;9703 LR;GRONINGEN;951;40026490
40586;Onderwijsstichting Esprit;Jan van Galenstraat;31;1051 KM;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205854811;www.espritscholen.nl;Jan van Galenstraat;31;1051 KM;AMSTERDAM;947;41213992
40588;Samenwerkingsstichting voor Voortgezet Onderwijs Uden;Schepenhoek;203;5403 GB;UDEN;1991;MAASHORST;Samenwerking Opb., RK;0413283000;www.udenscollege.nl;Postbus;108;5400 AC;UDEN;432;41085318
40590;Stichting v. Prot. Christelijk Voortgezet Onderwijs;Graaf Wichman;175;1276 KD;HUIZEN;0406;HUIZEN;Protestants-Christelijk;0355248020;www.erfgooiers.nl;Postbus;163;1270 AD;HUIZEN;696;41194591
40596;Stg. Prot. Chr. Voortg. Ond. voor Nijverdal-Rijssen e.o.;Noetselerbergweg;20;7441 BK;NIJVERDAL;0163;HELLENDOORN;Protestants-Christelijk;0548533600;www.reggesteyn.nl;Postbus;120;7440 AC;NIJVERDAL;597;41031514
40608;Stichting Christelijke Scholengemeenschap Het Streek;Zandlaan;25;6717 LN;EDE GLD;0228;EDE;Protestants-Christelijk;0318477100;www.hetstreek.nl;Postbus;460;6710 BL;EDE GLD;401;41052378
40619;Stichting Praktijkonderwijs Roermond e.o.;Heinsbergerweg;192;6045 CL;ROERMOND;0957;ROERMOND;Rooms-Katholiek;0475323437;www.pro-roermond.nl;Heinsbergerweg;192;6045 CL;ROERMOND;401;41068142
40641;Stichting Isendoorn;Lage Weide;1;7231 NN;WARNSVELD;0301;ZUTPHEN;Rooms-Katholiek;0575528222;www.isendoorn.nl;Postbus;1093;7230 AB;WARNSVELD;744;41042047
40673;Stichting Vonk;Drechterwaard;10-A;1824 EX;ALKMAAR;0361;ALKMAAR;Algemeen bijzonder;0725147666;www.clusius.nl;Drechterwaard;10-A;1824 EX;ALKMAAR; ;41236238
40676;Stichting Alberdingk Thijm Scholen;Emmastraat;58;1213 AL;HILVERSUM;0402;HILVERSUM;Rooms-Katholiek;0356460088;www.atscholen.nl;Postbus;700;1200 AS;HILVERSUM; ;41194730
40681;Stichting Scholengroep Willem van Oranje;De Gaard;4;5146 AW;WAALWIJK;0867;WAALWIJK;Protestants-Christelijk;0416333069;www.willemvanoranjescholengroep.nl;De Gaard;4;5146 AW;WAALWIJK;401;41100627
40683;Stichting Volant;Nieuwe 's-Gravelandseweg;38;1405 HM;BUSSUM;1942;GOOISE MEREN;Samenwerking PC, RK;0356912245;www.volant.nl;Postbus;345;1400 AH;BUSSUM;696;41194715
40687;Stichting Aeres Groep;Bovenbuurtweg;27;6717 XA;EDE GLD;0228;EDE;Protestants-Christelijk;0880207000;www.aeres.nl;Postbus;245;6710 BE;EDE GLD;623;41246832
40696;Stichting Gooise Scholen Federatie;Kerklaan;6-A;1251 JT;LAREN NH;0417;LAREN;Algemeen bijzonder;0356926700;www.gsf.nl;Postbus;171;1250 AD;LAREN NH;035;41194761
40700;Stg. Andreas College voor CVO te Katwijk e.o.;Louise de Colignylaan;2;2224 VT;KATWIJK ZH;0537;KATWIJK;Protestants-Christelijk;0714013128;www.andreascollege.nl;Postbus;48;2220 AA;KATWIJK ZH;027;40448410
40716;Stg. Chr. Voortgezet Onderwijs voor Culemborg en Omgeving;Beethovenlaan;1;4102 BM;CULEMBORG;0216;CULEMBORG;Algemeen bijzonder;0345639050;www.kwc-culemborg.nl;Postbus;7;4100 AA;CULEMBORG; ;41060415
40722;Stichting Vechtdal College;Burg Schuitestraat;3;7772 BS;HARDENBERG;0160;HARDENBERG;Samenwerking PC, RK;0523281428;www.vechtdalcollege.nl;Postbus;40;7770 AA;HARDENBERG;696;40062558
40776;Stichting V.O. Amsterdam-Zuid;Jan van Eijckstraat;47;1077 LH;AMSTERDAM;0363;AMSTERDAM;Samenwerking PC, RK;0206763868;www.ig.nl;Jan van Eijckstraat;47;1077 LH;AMSTERDAM;401;41215482
40784;Stg. Christ. Voortg. Onderwijs Reform. Grondsl. Driestar-Wartburg;Ronsseplein;1;2803 ZV;GOUDA;0513;GOUDA;Reformatorisch;0182691691;www.driestarcollege.nl;Postbus;148;2800 AC;GOUDA;146;41174338
40810;Stichting Landstede;Rechterland;1;8024 AH;ZWOLLE;0193;ZWOLLE;Samenwerking PC, RK, Alg. Bijz;0888508008;www.landstede.nl;Postbus;1;8000 AA;ZWOLLE; ;41025299
40842;Samenwerkingsstichting Voortgez. Onderw. regio Venlo;Hogeweg;26-A;5911 EB;VENLO;0983;VENLO;Samenwerking RK, Alg. Bijz.;0773590500;www.ogvo.nl;Postbus;270;5900 AG;VENLO; ;41064644
40851;Stichting voor Christelijk Speciaal Onderwijs Groningen;Eenrumermaar;4;9735 AD;GRONINGEN;0014;GRONINGEN;Protestants-Christelijk;0505718484;www.scsog.nl;Postbus;70130;9704 AC;GRONINGEN;951;41013479
40854;Stichting ROC Summa College;Sterrenlaan;10;5631 KA;EINDHOVEN;0772;EINDHOVEN;Algemeen bijzonder;0402694030;www.summacollege.nl;Postbus;6101;5600 HC;EINDHOVEN;404;41093932
40856;Stichting Onderwijsgroep Oost-Brabant;Sleutelbosch;2;5421 KZ;GEMERT;1652;GEMERT-BAKEL;Samenwerking Opb., Alg. Bijz.;0492371220;www.commanderijcollege.nl;Postbus;58;5420 AB;GEMERT;947;41093963
40857;Stichting Purmerendse ScholenGroep;Bergmolen;2;1444 GP;PURMEREND;0439;PURMEREND;Algemeen bijzonder;0299413366;www.psg.nl;Postbus;659;1440 AR;PURMEREND; ;41236445
40876;Stichting Ozeo;Kleverskerkseweg;49;4338 PB;MIDDELBURG;0687;MIDDELBURG;Samenwerking Opb., PC, RK;0118745011;www.ozeo.nl;Kleverskerkseweg;49;4338 PB;MIDDELBURG;136;41115349
40922;Stichting voor Christ. Voortgez. Onderw.;Eperweg;34-A;8181 EW;HEERDE;0246;HEERDE;Protestants-Christelijk;0578693411;www.noordgouw.nl;Postbus;178;8180 AD;HEERDE;706;41042851
40928;Laurentius Stichting voor Kathol. Primair Onderwijs;Burgemeestersrand;59;2625 NV;DELFT;0503;DELFT;Rooms-Katholiek;0152511440;www.laurentiusstichting.nl;Postbus;649;2600 AP;DELFT;065;41160449
40930;Stichting 'Het Rhedens';Kleiberglaan;1;6891 DK;ROZENDAAL;0277;ROZENDAAL;Algemeen bijzonder;0313490900;www.hetrhedens.nl;Postbus;35;6950 AA;DIEREN;696;41053606
40931;Stichting Scholen aan Zee;Sportlaan;54;1782 ND;DEN HELDER;0400;DEN HELDER;Algemeen bijzonder;0223540300;www.scholenaanzee.nl;Postbus;636;1780 AP;DEN HELDER;284;41241888
40956;Stg. Openb. Scholengemeenschap Erasmus;Sluiskade Noordzijde;90;7602 HW;ALMELO;0141;ALMELO;Openbaar;0546480800;www.osg-erasmus.nl;Postbus;341;7600 AH;ALMELO;696;06085583
40979;Stichting Groen Onderwijs Oost Nederland;Hoeflingweg;9;7241 CJ;LOCHEM;0262;LOCHEM;Algemeen bijzonder;0882620700;www.zone.college;Postbus;190;7240 AD;LOCHEM; ;09098652
40996;Stichting Trevianum;Bradleystraat;25;6135 CV;SITTARD;1883;SITTARD-GELEEN;Rooms-Katholiek;0464206900;www.trevianum.nl;Postbus;211;6130 AE;SITTARD;480;14060225
41009;Stichting voor Voortgezet Onderwijs Kennemerland;Westerplein;4-B;1901 NA;CASTRICUM;0383;CASTRICUM;Algemeen bijzonder;0251258980;www.svok.nl;Postbus;371;1900 AJ;CASTRICUM;744;34105554
41021;Iris, Stichting voor Christ. Voortgez. Onderw.;Koediefslaan;69;2101 BT;HEEMSTEDE;0397;HEEMSTEDE;Protestants-Christelijk;0235483800;www.iris-cvo.nl;Postbus;41;2100 AA;HEEMSTEDE;696;34105560
41054;St. Katholieke Scholengr. voor Voortg. Onderw. Best-Oirschot;Willem de Zwijgerweg;150;5684 SL;BEST;0753;BEST;Rooms-Katholiek;0499336231;www.voboscholen.nl;Postbus;184;5680 AD;BEST;513;17109461
41063;Openbare Stichting Ir. Lely Lyceum;Ravenswaaipad;3;1106 AW;AMSTERDAM;0363;AMSTERDAM;Openbaar;0205633050;www.lelylyceum.nl;Ravenswaaipad;3;1106 AW;AMSTERDAM;947;34109279
41070;Ds. Pierson Stichting voor Voortgezet Onderwijs;Geraert ter Borchstraat;1;5212 CZ;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Protestants-Christelijk;0736442929;www.pierson.nl;Postbus;701;5201 AS;'S-HERTOGENBOSCH;696;17109530
41071;Stg. v. Interconf./Alg. Bijz. voortgezet onderw. te R'dam eo;Linker Rottekade;292;3034 CV;ROTTERDAM;0599;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz;0104366766;www.lmc-vo.nl;Postbus;3081;3003 AB;ROTTERDAM; ;24288721
41100;Stichting Yuverta;De Molen;94;3995 AX;HOUTEN;0321;HOUTEN;Algemeen bijzonder;0306345100;www.wellantcollege.nl;Postbus;177;3990 DD;HOUTEN; ;27177194
41142;de Passie, stichting voor Evang. Bijb.getr. Onderw.;Paardenhoeve;80;3992 PK;HOUTEN;0321;HOUTEN;Evangelisch;0883372700;www.depassiescholen.nl;Paardenhoeve;80;3992 PK;HOUTEN;696;41189431
41143;Stichting rsg de Borgen;Hereweg;101;9721 AA;GRONINGEN;0014;GRONINGEN;Algemeen bijzonder;0505292929;www.rsgdeborgen.nl;Postbus;17;9700 AA;GRONINGEN; ;02066630
41152;Stichting Openbaar V.g. O.w. Tiel;Teisterbantlaan;2;4006 EB;TIEL;0281;TIEL;Openbaar;0344640150;www.lingecollege.nl;Postbus;224;4000 AE;TIEL;696;11045515
41158;Stichting voor Christ. VMBO v. Harderwijk en omstreken.;De Sypel;2;3842 AE;HARDERWIJK;0243;HARDERWIJK;Samenwerking PC, RK;0341439050;www.vmboharderwijk.nl;Postbus;1;8000 AA;ZWOLLE;606;08082657
41161;Stichting Scholengroep Pontes;Bergweg;14;4461 NB;GOES;0664;GOES;Openbaar;0113212930;www.pontes.nl;Postbus;370;4460 AT;GOES;136;22043910
41163;Stichting Prakt.onderw. Leiden e.o.;Boerhaavelaan;345;2334 EM;LEIDEN;0546;LEIDEN;Rooms-Katholiek;0715163636;www.hetwaterland.nl;Boerhaavelaan;345;2334 EM;LEIDEN;098;28081949
41164;Stichting Praktijkonderwijs Regio Nijmegen;Dennenstraat;21;6543 JP;NIJMEGEN;0268;NIJMEGEN;Algemeen bijzonder;0243222258;www.procollege.nl;Postbus;158;6500 AD;NIJMEGEN;952;09106945
41195;Stichting VariO-Onderwijsgroep;Prof. ter Veenstraat;5;8302 GA;EMMELOORD;0171;NOORDOOSTPOLDER;Openbaar;0527635950;www.vario-onderwijsgroep.nl;Postbus;27;8300 AA;EMMELOORD; ;39071372
41202;Stichting Scholengemeenschap voor Vrijeschoolonderwijs;Wilhelminasingel;13-15;6524 AJ;NIJMEGEN;0268;NIJMEGEN;Antroposofisch;0243820460;www.kgcnijmegen.nl;Wilhelminasingel;13-15;6524 AJ;NIJMEGEN;953;09108917
41203;Stichting Onderwijs Midden-Limburg;Heinsbergerweg;180;6045 CK;ROERMOND;0957;ROERMOND;Samenwerking Opb., RK;0475322324;www.soml.nl;Postbus;975;6040 AZ;ROERMOND;561;12041226
41208;Stichting Onderwijsgroep Amersfoort;De Brand;20;3823 LJ;AMERSFOORT;0307;AMERSFOORT;Openbaar;0334701008;www.onderwijsgroepamersfoort.nl;Postbus;1771;3800 BT;AMERSFOORT; ;32075562
41211;Ons Middelbaar Onderwijs;Spoorlaan;171;5038 CB;TILBURG;0855;TILBURG;Samenwerking PC, RK;0135955500;www.omo.nl;Postbus;574;5000 AN;TILBURG;431;40258061
41217;Stichting Ceder Groep;De Cuserstraat;3;1081 CK;AMSTERDAM;0363;AMSTERDAM;Protestants-Christelijk;0205456910;www.cedergroep.nl;De Cuserstraat;3;1081 CK;AMSTERDAM;706;41216128
41219;Stichting voor Voortgezet Vrijeschoolonderwijs Noord-Holland;Fred. Roeskestraat;84;1076 ED;AMSTERDAM;0363;AMSTERDAM;Antroposofisch;0205745830;www.ggca.nl;Postbus;77779;1070 LJ;AMSTERDAM;136;34130234
41271;Stichting Roelof van Echten;Sportveldenweg;20;7902 NX;HOOGEVEEN;0118;HOOGEVEEN;Protestants-Christelijk;0528358658;www.rvec.nl;Postbus;2152;7900 BD;HOOGEVEEN; ;04064771
41285;Stichting @voCampus;de Meeuwse Acker;2020;6546 DZ;NIJMEGEN;0268;NIJMEGEN;Algemeen bijzonder;0243790158;www.alliantievo.nl;Postbus;6618;6503 GC;NIJMEGEN; ;09124577
41295;Stichting Simant;Stationsstraat;40;8331 GK;STEENWIJK;1708;STEENWIJKERLAND;Algemeen bijzonder;0521512220;www.rsgtrompmeesters.nl;Postbus;168;8330 AD;STEENWIJK; ;05069588
41298;Stg. Scholengroep Spinoza voor VO te Voorb., Leidschendam eo;V T v Serooskerkenstr;77-85;2273 CD;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Samenwerking Opb., RK, Alg. Bi;0704199400;www.scholengroepspinoza.nl;Postbus;35;2270 AA;VOORBURG; ;27247262
41300;Stg. Christelijke Onderw. Grp Vallei & Gelderland-Midden;Reehorsterweg;80;6717 LG;EDE GLD;0228;EDE;Algemeen bijzonder;0318455510;www.cog.nl;Postbus;78;6710 BB;EDE GLD;646;09125963
41313;Stichting Prakt.onderw. 's-Hertogenbosch;Hedikhuizerweg;3;5222 BC;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Rooms-Katholiek;0736217623;www.rijzert.nl;Hedikhuizerweg;3;5222 BC;'S-HERTOGENBOSCH;706;17146450
41347;Verenig. voor Christel. VO in Noord- en West-Fryslƒn;Robert Kochstraat;6;8921 VX;LEEUWARDEN;0080;LEEUWARDEN;Overige;0582347670;www.cvo-nf.nl;Postbus;193;8900 AD;LEEUWARDEN; ;01098068
41360;Stichting Voortgezet Onderwijs Haaglanden;Parkstraat;83;2514 JG;'S-GRAVENHAGE;0518;S GRAVENHAGE;Samenwerking Opb., Alg. Bijz.;0704262626;www.vohaaglanden.nl;Parkstraat;83;2514 JG;'S-GRAVENHAGE;061;27253825
41386;Stg. Openbaar Verenigd Onderw. in Gorinchem en de regio;Merwe Donk;10;4207 XB;GORINCHEM;0512;GORINCHEM;Openbaar;0183650440;www.stichtingovo.nl;Merwe Donk;10;4207 XB;GORINCHEM; ;11056465
41389;Stichting Openbaar Voortgezet Onderwijs Noordwijk;Duinwetering;107;2203 HM;NOORDWIJK ZH;0575;NOORDWIJK;Overige;0713681840;www.northgo-college.nl;Postbus;429;2200 AK;NOORDWIJK ZH; ;28096079
41391;Stichting Limburgs Voortgezet Onderwijs, SWB voor bijzonder en openbaar ond.;Mercator;1;6135 KW;SITTARD;1883;SITTARD-GELEEN;Samenwerking Opb., PC, RK, Alg;0464201212;www.stichtinglvo.nl;Postbus;143;6130 AC;SITTARD;468;14077279
41396;LOGOS Stichting voor Protestants Christelijk Onderwijs;Meent;24;4141 AC;LEERDAM;1961;VIJFHEERENLANDEN;Protestants-Christelijk;0345637980;www.stichting-logos.nl;Meent;24;4141 AC;LEERDAM;706;11056372
41397;Stichting voor Openbaar Onderwijs in Dordrecht;Overkampweg;125;3318 AN;DORDRECHT;0505;DORDRECHT;Openbaar;0786182978;www.dalton-dordrecht.nl;Postbus;8007;3301 CA;DORDRECHT;706;24349808
41403;Stg. Christ. Voortgez. Onderw. Zeeland;Bergweg;4;4461 NB;GOES;0664;GOES;Samenwerking PC, RK;0113212020;www.ostrealyceum.nl;Postbus;444;4460 AV;GOES; ;22053128
41417;Stichting Specialisten in Passend Onderwijs;Noordersingel;1;3351 ED;PAPENDRECHT;0590;PAPENDRECHT;Algemeen bijzonder;0786449734;www.spon.nl;Postbus;23;3350 AA;PAPENDRECHT;136;24354004
41429;Stichting Ichthus College;Jan Ligthartstraat;1;8265 CJ;KAMPEN;0166;KAMPEN;Protestants-Christelijk;0888508008;www.landstede.nl/voortgezetonderwijs.nl;Postbus;1;8000 AA;ZWOLLE;728;05074011
41430;Stichting Agnieten College/De Boog;Kamperweg;1;8019 AV;ZWOLLE;0193;ZWOLLE;Protestants-Christelijk;0888508008;www.landstede.nl/voortgezetonderwijs;Postbus;1;8000 AA;ZWOLLE;728;05074008
41440;Stichting Christelijk Onderwijs Over-en Midden-Betuwe;De Heister;1;6681 CV;BEMMEL;1705;LINGEWAARD;Samenwerking PC, RK;0481470555;www.sgomb.nl;Postbus;19;6680 AA;BEMMEL;136;09139157
41442;Stichting RSG Magister Alvinus;Almastraat;5;8601 EW;SNEEK;1900;SUDWEST-FRYSLAN;Overige;0515429760;www.rsg-sneek.nl;Postbus;341;8600 AH;SNEEK; ;01102489
41444;Stg. De Hoeksche School, opvo Hoeksche Waard;Biezenvijver;5;3297 GK;PUTTERSHOEK;1963;HOEKSCHE WAARD;Openbaar;0786295999;www.dehoekscheschool.nl;Biezenvijver;5;3297 GK;PUTTERSHOEK;706;24356117
41466;Stichting voor Praktijkonderw. Dordrecht;Anna van Saksenstraat;11;3314 NC;DORDRECHT;0505;DORDRECHT;Algemeen bijzonder;0786324111; ;Anna van Saksenstraat;11;3314 NC;DORDRECHT; ;24364163
41475;Sticht. Openb. Voortg. Onderw. Utrecht en Omstreken;Orteliuslaan;871;3528 BE;UTRECHT;0344;UTRECHT;Openbaar;0302969040;www.nuovo.eu;Postbus;1415;3500 BK;UTRECHT; ;30199604
41509;Stichting Hondsrug College;Emmalaan;25-26;7822 JB;EMMEN;0114;EMMEN;Protestants-Christelijk;0591657979;www.hondsrugcollege.nl;Postbus;66;7800 AB;EMMEN;706;04074794
41513;Stg. Johan de Witt-gymnasium te Dordrecht;Oranjepark;11;3311 LP;DORDRECHT;0505;DORDRECHT;Openbaar;0786482626;www.jdw.nl;Oranjepark;11;3311 LP;DORDRECHT;706;24372923
41525;Stichting Openbaar Voortgezet Onderwijs Gouda;Krugerlaan;20;2806 EJ;GOUDA;0513;GOUDA;Openbaar;0182586890;www.stovog.nl;Postbus;2134;2800 BG;GOUDA;018;24371937
41529;Stichting Praktijkonderwijs Emmen e.o.;Ullevi;22;7825 SE;EMMEN;0114;EMMEN;Algemeen bijzonder;0591613310;www.praktijkschool-emmen.nl;Ullevi;22;7825 SE;EMMEN;951;04076327
41537;Stichting Scala Coll.&Coenecoop College;Kees Mustersstraat;6;2406 LK;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Openbaar;0172423737;www.scalacollege.nl;Postbus;458;2400 AL;ALPHEN AAN DEN RIJN;098;28106428
41545;Stichting BLICK op onderwijs;Pelikaanweg;1;2903 ER;CAPELLE AAN DEN IJSSEL;0502;CAPELLE AAN DEN IJSSEL;Openbaar;0851050230;www.blickoponderwijs.nl;Postbus;776;2900 AT;CAPELLE AAN DEN IJSSEL;947;24384672
41555;Stichting RSG ''t Rijks', st. reg. ovo Bergen op Zoom eo;Burg Stulemeijerlaan;24;4611 EG;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Openbaar;0164242150;www.rsgrijks.nl;Burg Stulemeijerlaan;24;4611 EG;BERGEN OP ZOOM;947;20122559
41556;Stichting Spinoza Lyceum Amsterdam;Peter van Anrooystraat;8;1076 BH;AMSTERDAM;0363;AMSTERDAM;Openbaar;0205777444;www.spinoza20first.nl;Peter van Anrooystraat;8;1076 BH;AMSTERDAM;940;34200189
41568;Stichting Openbare Scholengr. Vlaardingen Schiedam (OSVS);Burg Van Lierplein;59;3134 ZB;VLAARDINGEN;0622;VLAARDINGEN;Openbaar;0108503500;www.osvs.nl;Postbus;6040;3130 DA;VLAARDINGEN; ;24387240
41581;Stg. Openb. Voortgezet Onderw. Zaanstad;Paulus Potterhof;1;1506 JX;ZAANDAM;0479;ZAANSTAD;Openbaar;0756401548;www.ovo-zaanstad.nl;Postbus;451;1500 EL;ZAANDAM;947;34239246
41585;Stg. voor Protestants Christ. Voortgez. Ondrw. De Meerwaarde;Rietberglaan;6;3771 RD;BARNEVELD;0203;BARNEVELD;Algemeen bijzonder;0342404777;www.demeerwaarde.nl;Postbus;223;3770 AE;BARNEVELD; ;08142370
41587;Stichting Openbaar Voortgezet Onderwijs Roosendaal;Burg Schneiderlaan;2;4706 EZ;ROOSENDAAL;1674;ROOSENDAAL;Openbaar;0165543871;www.jtc-roosendaal.nl;Postbus;1675;4700 BR;ROOSENDAAL;947;20122937
41594;Stg. Onderwijsgroep Galilëi, Openb.Voortg.Ond.Voorne-Putten;Hossenbosdijk;16;3232 PX;BRIELLE;1992;VOORNE AAN ZEE;Openbaar;0181650955;www.galilei.nl;Postbus;5;3230 AA;BRIELLE; ;24391113
41599;Stg. Kath. Ondernemersonderw. te Tilburg;Dr. Ahausstraat;1;5042 EK;TILBURG;0855;TILBURG;Rooms-Katholiek;0135955600;www.derooipannen.nl;Postbus;1458;5004 BL;TILBURG; ;41095199
41608;Stichting Samenw.school ABVO IJburg;Pampuslaan;1;1087 HP;AMSTERDAM;0363;AMSTERDAM;Overige;0203443000;www.ijburgcollege.nl;Pampuslaan;1;1087 HP;AMSTERDAM;136;34224067
41616;Stichting Openb. Prim. Onderw. Apeldoorn;2e Wormenseweg;80;7331 VG;APELDOORN;0200;APELDOORN;Openbaar;0555393750;www.leerplein055.nl;Postbus;10098;7301 GB;APELDOORN;686;08155806
41622;Stichting Praktijkonderwijs De Brug;Sportlaan;2;5301 PX;ZALTBOMMEL;0297;ZALTBOMMEL;Overige;0418540394;www.prodebrug.nl;Sportlaan;2;5301 PX;ZALTBOMMEL;706;11065720
41623;Stichting Openbaar Voortgezet Onderwijs Tilburg;Poststraat;68;5038 DH;TILBURG;0855;TILBURG;Openbaar;0135096348;www.sovot.nl;Poststraat;68;5038 DH;TILBURG; ;18085696
41636;Stichting Voortgezet Onderwijs Meppel en omstreken;Ezingerweg;52;7943 AZ;MEPPEL;0119;MEPPEL;Samenwerking Opb., Alg. Bijz.;0522263275;www.stadenesch.nl;Postbus;178;7940 AD;MEPPEL; ;04084016
41659;Stichting voor Voortgezet Onderwijs Lelystad;Lindelaan;99;8224 KR;LELYSTAD;0995;LELYSTAD;Algemeen bijzonder;0320240500;www.svol.nl;Postbus;2310;8203 AH;LELYSTAD;828;39098845
41664;Stichting Dunamare Onderwijsgroep;Diakenhuisweg;5;2033 AP;HAARLEM;0392;HAARLEM;Samenwerking Opb., Alg. Bijz.;0235303600;www.dunamare.nl;Postbus;4470;2003 EL;HAARLEM; ;34277470
41671;Stichting EduCare,Chr.Speciaal Onderwijs te Harderwijk e.o.;Stationslaan;32;8071 CM;NUNSPEET;0302;NUNSPEET;Protestants-Christelijk;0341452795;www.educare-harderwijk.nl;Postbus;170;8070 AD;NUNSPEET;696;08157963
41676;Almeerse Scholen Groep (ASG);Randstad 20;31;1314 BC;ALMERE;0034;ALMERE;Samenwerking Opb., Alg. Bijz.;0365406363;www.asg.nl;Postbus;60276;1320 AH;ALMERE;626;39100741
41737;Stichting O.V.O. Coevorden, Hardenberg eo/De Nieuwe Veste;Van Heeckerenlaan;2;7742 AB;COEVORDEN;0109;COEVORDEN;Openbaar;0524593800;www.denieuweveste.nl;Postbus;240;7740 AE;COEVORDEN;706;04088532
41769;Stichting voor Onderwijs op Reformatorische Grondslag;Utrechtseweg;226;3818 ET;AMERSFOORT;0307;AMERSFOORT;Reformatorisch;0854838152; ;Postbus;405;3800 AK;AMERSFOORT;640;32124769
41775;Stichting BOOR;Schiekade;34;3032 AJ;ROTTERDAM;0599;ROTTERDAM;Openbaar;0102540800;www.stichtingboor.nl;Postbus;23058;3001 KB;ROTTERDAM; ;24424572
