BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
78132;Stg. voor interconfessioneel (rk/pc) Prakt.onderw. Woerden;Abeellaan;2;3442 JB;WOERDEN;0632;WOERDEN;Algemeen bijzonder;0348412040;www.praktijkschoolwoerden.nl;Postbus;80;3360 AB;SLIEDRECHT;136;41172140
78157;Onderwijsstichting College Hageveld;Hageveld;15;2102 LM;HEEMSTEDE;0397;HEEMSTEDE;Rooms-Katholiek;0235100100;www.hageveld.nl;Hageveld;15;2102 LM;HEEMSTEDE;136;41222941
78457;Stichting Joodse Kindergem. Cheider;Zeelandstraat;11;1082 BV;AMSTERDAM;0363;AMSTERDAM;Joods;0206465564;www.cheider.nl;Postbus;7828;1008 AA;AMSTERDAM;222;41202962
78482;Stg. R-K Voorb. Hoger&MO voor Noordelijk Rotterdam;Voorhout;100;3055 ES;ROTTERDAM;0599;ROTTERDAM;Rooms-Katholiek;0104180470;www.laurenslyceum.nl;Voorhout;100;3055 ES;ROTTERDAM;136;41126814
79314;Stichting Marnix College;Prins Bernhardlaan;30;6713 MC;EDE GLD;0228;EDE;Protestants-Christelijk;0318650035;www.marnixcollege.nl;Postbus;8037;6710 AA;EDE GLD; ;41046265
79496;Ver H Vryzinnig Chr Lyc;Van Stolkweg;35;2585 JN;'S-GRAVENHAGE;0518;S GRAVENHAGE;Algemeen bijzonder;0703066631;www.vcl-school.nl;Van Stolkweg;35;2585 JN;'S-GRAVENHAGE;065;40407420
80082;Kardinaal Alfrink Stichting;Werflaan;45;2725 DE;ZOETERMEER;0637;ZOETERMEER;Rooms-Katholiek;0793306666;www.alfrink.nl;Werflaan;45;2725 DE;ZOETERMEER; ;41149483
80328;Stichting voor Christ. Voortgez. Onderw.;Kerkewijk;149;3904 JC;VEENENDAAL;0345;VEENENDAAL;Protestants-Christelijk;0318500621;www.clv.nl;Postbus;41;3900 AA;VEENENDAAL;756;41178034
83228;Stichting Christelijk Onderwijs Delft e.o.;Vulcanusweg;263-G;2624 AV;DELFT;0503;DELFT;Protestants-Christelijk;0152154880;www.scodelft.nl;Postbus;2924;2601 CX;DELFT;696;41145807
84021;Ver. Voortgezet Onderwijs op Reform. Grondslag Apeldoorn eo;Anklaarseweg;71;7316 MB;APELDOORN;0200;APELDOORN;Reformatorisch;0555262300;www.jfsg.nl;Postbus;2151;7302 EN;APELDOORN; ;40102138
85425;St. Interconfessioneel (RK/PC) Voortg. Onderw. Gregor Mendel;Pim Mulierlaan;4;2024 BT;HAARLEM;0392;HAARLEM;Samenwerking PC, RK;0235258421;www.mendelcollege.nl;Pim Mulierlaan;4;2024 BT;HAARLEM;136;41224031
91092;Vereniging voor Pr.-Chr. V.O. te Sleeuwijk (Noord-Brabant);Rijksstraatweg;153;4254 XD;SLEEUWIJK;1959;ALTENA;Protestants-Christelijk;0183302944;www.altenacollege.nl;Rijksstraatweg;153;4254 XD;SLEEUWIJK;558;40271198
95785;Stichting Vrijescholen ZW Nederland;Waalsdorperweg;12;2597 JB;'S-GRAVENHAGE;0518;S GRAVENHAGE;Antroposofisch;0703244300;www.devrijeschooldenhaag.nl;Waalsdorperweg;12;2597 JB;'S-GRAVENHAGE;136;40407208
99048;Stichting Voortgezet Onderwijs Parkstad Limburg;Akerstraat;85;6417 BK;HEERLEN;0917;HEERLEN;Samenwerking Opb., PC, RK, Alg;0455712597;www.svopl.nl;Akerstraat;85;6417 BK;HEERLEN;515;41070757
