BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
31137;17WQ;17WQ00;Lentiz;VLAARDINGEN;622;VLAARDINGEN;Zuid-Holland;1217;4;1221
31137;17WQ;17WQ08;Lentiz VMBO LIFE College;SCHIEDAM;606;SCHIEDAM;Zuid-Holland;557;0;557
31137;31MD;31MD00;Lentiz Revius Lyceum;MAASSLUIS;556;MAASSLUIS;Zuid-Holland;826;3;829
31137;31MD;31MD02;Lentiz Geuzencollege;VLAARDINGEN;622;VLAARDINGEN;Zuid-Holland;826;1;827
31137;31MD;31MD03;Lentiz Revius Mavo;MAASSLUIS;556;MAASSLUIS;Zuid-Holland;194;0;194
31157;23VL;23VL00;SGM Pieter Zandt;KAMPEN;166;KAMPEN;Overijssel;1658;5;1663
31157;23VL;23VL01;SGM Pieter Zandt;STAPHORST;180;STAPHORST;Overijssel;421;0;421
31157;23VL;23VL02;SGM Pieter Zandt;URK;184;URK;Flevoland;569;0;569
31157;23VL;23VL03;SGM Pieter Zandt;IJSSELMUIDEN;166;KAMPEN;Overijssel;242;0;242
31226;02TC;02TC00;Christiaan Huygens Coll;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1254;10;1264
31226;02TC;02TC03;locatie Olympia;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;483;0;483
31226;02TC;02TC04;loc. Frits Philips lyceum-mavo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1597;1;1598
31231;00ZV;00ZV00;Lauwers College;BUITENPOST;59;ACHTKARSPELEN;Friesland;898;6;904
31231;00ZV;00ZV02;Lauwers College;KOLLUM;1970;NOARDEAST-FRYSLAN;Friesland;318;0;318
31231;00ZV;00ZV05;Lauwers College;GRIJPSKERK;1969;WESTERKWARTIER;Groningen;329;0;329
31231;00ZX;00ZX00;Dockingacollege;DOKKUM;1970;NOARDEAST-FRYSLAN;Friesland;339;12;351
31231;00ZX;00ZX02;Dockingacollege;DOKKUM;1970;NOARDEAST-FRYSLAN;Friesland;407;1;408
31231;00ZX;00ZX03;Dockingacollege;DOKKUM;1970;NOARDEAST-FRYSLAN;Friesland;474;0;474
31231;00ZX;00ZX08;Dockingacollege;DOKKUM;1970;NOARDEAST-FRYSLAN;Friesland;363;0;363
31231;00ZX;00ZX10;Inspecteur Boelensschool;SCHIERMONNIKOOG;88;SCHIERMONNIKOOG;Friesland;24;0;24
31231;25CM;25CM00;Chr SGM Liudger;DRACHTEN;90;SMALLINGERLAND;Friesland;876;0;876
31231;25CM;25CM04;Chr SGM Liudger;DRACHTEN;90;SMALLINGERLAND;Friesland;1104;9;1113
