BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
43837;17VS;17VS00;Greijdanus;ZWOLLE;0193;ZWOLLE;Overijssel;2345;9;2354
43837;17VS;17VS02;Greijdanus;ENSCHEDE;0153;ENSCHEDE;Overijssel;153;0;153
43837;17VS;17VS03;Greijdanus;HARDENBERG;0160;HARDENBERG;Overijssel;904;0;904
43837;17VS;17VS04;Greijdanus;MEPPEL;0119;MEPPEL;Drenthe;476;0;476
44813;17UX;17UX00;t Wildveld;VENLO;0983;VENLO;Limburg;244;0;244
45697;03SX;03SX00;De Baander;AMERSFOORT;0307;AMERSFOORT;Utrecht;212;0;212
46594;02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;0106;ASSEN;Drenthe;1255;25;1280
46594;02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;0106;ASSEN;Drenthe;698;1;699
46594;02EB;02EB07;Chr SGM Vincent van Gogh;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;427;0;427
46632;02GN;02GN00;SGM Kennemer Lyceum;OVERVEEN;0377;BLOEMENDAAL;Noord-Holland;842;16;858
46879;02GP;02GP00;Het Rijnlands Lyceum;WASSENAAR;0629;WASSENAAR;Zuid-Holland;787;0;787
46879;02GP;02GP04;Het Rijnlands Lyceum;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;137;0;137
46879;02GP;02GP05;Het Rijnlands Lyceum;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;1389;0;1389
46879;02GP;02GP06;Het Rijnlands Lyceum;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;427;0;427
46879;14TD;14TD00;Sgm Het Rynlands Sassenh;SASSENHEIM;1525;TEYLINGEN;Zuid-Holland;1524;23;1547
46879;16RH;16RH00;Het Rijnlands LYC;OEGSTGEEST;0579;OEGSTGEEST;Zuid-Holland;1374;10;1384
47711;02GS;02GS00;SGM Montessori Lyc Rdam;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;1059;4;1063
48648;00VR;00VR00;St.- Jozefmavo;VLAARDINGEN;0622;VLAARDINGEN;Zuid-Holland;858;2;860
49155;00VY;00VY00;RK SGM Cals College;NIEUWEGEIN;0356;NIEUWEGEIN;Utrecht;2222;6;2228
49155;00VY;00VY04;RK SGM Cals College;IJSSELSTEIN UT;0353;IJSSELSTEIN;Utrecht;1457;3;1460
49558;00WD;00WD00;sg Panta Rhei;AMSTELVEEN;0362;AMSTELVEEN;Noord-Holland;700;23;723
49701;00WI;00WI00;Chr. College Groevenbeek;ERMELO;0233;ERMELO;Gelderland;2583;25;2608
49701;00WI;00WI04;Chr. College Groevenbeek;PUTTEN;0273;PUTTEN;Gelderland;453;0;453
49778;18CV;18CV00;Martinus College;GROOTEBROEK;0532;STEDE BROEC;Noord-Holland;1925;8;1933
50182;03XM;03XM00;Chr SGM Dingstede;MEPPEL;0119;MEPPEL;Drenthe;1153;22;1175
53990;00UZ;00UZ00;Fioretti College;LISSE;0553;LISSE;Zuid-Holland;1543;9;1552
53990;00UZ;00UZ04;Fioretti College;HILLEGOM;0534;HILLEGOM;Zuid-Holland;946;2;948
53990;02KB;02KB00;Teylingen College;VOORHOUT;1525;TEYLINGEN;Zuid-Holland;828;3;831
53990;02KB;02KB01;Teylingen College;NOORDWIJKERHOUT;0575;NOORDWIJK;Zuid-Holland;1436;22;1458
53990;02KB;02KB02;Teylingen College;OEGSTGEEST;0579;OEGSTGEEST;Zuid-Holland;593;2;595
53990;02KB;02KB06;Teylingen College;KATWIJK ZH;0537;KATWIJK;Zuid-Holland;100;0;100
57266;02VD;02VD00;Visser t Hooft Lyceum;LEIDEN;0546;LEIDEN;Zuid-Holland;1354;27;1381
57266;02VD;02VD02;Visser t Hooft Lyceum;LEIDEN;0546;LEIDEN;Zuid-Holland;54;0;54
57266;02VD;02VD04;Visser t Hooft Lyceum;LEIDERDORP;0547;LEIDERDORP;Zuid-Holland;481;2;483
57266;02VD;02VD05;Visser t Hooft Lyceum;RIJNSBURG;0537;KATWIJK;Zuid-Holland;292;0;292
57266;21GW;21GW00;Bonaventuracollege;LEIDEN;0546;LEIDEN;Zuid-Holland;1166;6;1172
57266;21GW;21GW01;Bonaventuracollege;ROELOFARENDSVEEN;1884;KAAG EN BRAASSEM;Zuid-Holland;195;0;195
57266;21GW;21GW02;Bonaventuracollege;LEIDEN;0546;LEIDEN;Zuid-Holland;1040;9;1049
57266;21GW;21GW03;Bonaventuracollege;LEIDEN;0546;LEIDEN;Zuid-Holland;291;1;292
58722;05AX;05AX00;SGM De Overlaat;WAALWIJK;0867;WAALWIJK;Noord-Brabant;921;1;922
59282;00YH;00YH00;C S De Hoven;GORINCHEM;0512;GORINCHEM;Zuid-Holland;490;4;494
59282;00YH;00YH01;Locatie, Schans;SLEEUWIJK;1959;ALTENA;Noord-Brabant;258;0;258
59282;00YH;00YH02;Locatie, Calvijn;HARDINXVELD-GIESSENDAM;0523;HARDINXVELD-GIESSENDAM;Zuid-Holland;498;0;498
59282;00YH;00YH03;Locatie, Lyceum oudehoven;GORINCHEM;0512;GORINCHEM;Zuid-Holland;1065;10;1075
59282;00YH;00YH05;Locatie, Gilde;GORINCHEM;0512;GORINCHEM;Zuid-Holland;762;0;762
59282;00YH;00YH06;Locatie, Windroos;GORINCHEM;0512;GORINCHEM;Zuid-Holland;218;0;218
59282;00YH;00YH09;Locatie, Tienercollege;GORINCHEM;0512;GORINCHEM;Zuid-Holland;23;0;23
59282;17XU;17XU00;Het Heerenlanden;LEERDAM;1961;VIJFHEERENLANDEN;Utrecht;914;9;923
59282;17XU;17XU01;locatie De Joost;LEERDAM;1961;VIJFHEERENLANDEN;Utrecht;191;0;191
62181;03ZY;03ZY00;School voor PRO De Maat;OMMEN;0175;OMMEN;Overijssel;167;0;167
67107;02PA;02PA00;Mediacollege Amsterdam Ma;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;295;0;295
67237;23JA;23JA01;Grafisch Lyceum R'dam;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;493;1;494
69994;06SU;06SU00;Ichthus College;VEENENDAAL;0345;VEENENDAAL;Utrecht;2007;14;2021
70176;07MZ;07MZ00;School voor PRO De Poort;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;252;0;252
70344;02QP;02QP00;St Willibrord Gymnasium;DEURNE;0762;DEURNE;Noord-Brabant;434;0;434
70396;02QQ;02QQ00;Notre Dame Des Anges;UBBERGEN;1945;BERG EN DAL;Gelderland;585;7;592
71436;02QX;02QX00;Petrus Canisius College;ALKMAAR;0361;ALKMAAR;Noord-Holland;1106;21;1127
71436;02QX;02QX01;Petrus Canisius College;ALKMAAR;0361;ALKMAAR;Noord-Holland;502;1;503
71436;02QX;02QX03;Petrus Canisius College;ALKMAAR;0361;ALKMAAR;Noord-Holland;610;0;610
71436;02QX;02QX06;Petrus Canisius College;BERGEN NH;0373;BERGEN NH;Noord-Holland;123;0;123
71436;02QX;02QX07;Petrus Canisius College;HEILOO;0399;HEILOO;Noord-Holland;343;0;343
71553;02QZ;02QZ00;Keizer Karel College;AMSTELVEEN;0362;AMSTELVEEN;Noord-Holland;1739;22;1761
